Time,Average EAR,Average MAR
16:48:14,0.28,1.30
16:48:14,0.28,1.30
16:48:14,0.28,1.30
16:48:14,0.28,1.30
09:01:41,0.23,1.29
09:01:41,0.23,1.29
09:01:41,0.23,1.29
09:22:09,0.27,1.26
09:23:12,0.26,1.19
09:23:12,0.26,1.19
09:30:15,0.28,1.19
09:30:15,0.28,1.19
09:36:19,0.26,1.22
09:37:22,0.28,1.21
09:37:22,0.28,1.21
09:38:57,0.26,1.21
09:38:57,0.26,1.21
09:41:28,0.27,1.22
09:41:28,0.27,1.22
21:03:01,0.29,1.26
21:04:04,0.28,1.24
21:04:04,0.28,1.24
21:06:56,0.27,1.26
21:07:09,0.31,1.25
21:07:19,0.28,1.34
21:07:29,0.27,1.28
21:07:39,0.27,1.22
21:07:49,0.24,1.23
21:07:59,0.14,1.26
21:08:09,0.23,1.24
21:08:19,0.28,1.17
21:08:29,0.24,1.19
21:08:39,0.26,1.21
21:08:49,0.27,1.18
21:08:59,0.30,1.20
21:09:09,0.27,1.21
21:09:19,0.27,1.18
21:09:29,0.26,1.18
21:09:39,0.27,1.20
21:09:49,0.33,1.23
21:10:00,0.26,1.26
21:16:56,0.25,1.26
21:17:06,0.30,1.39
21:17:17,0.29,1.24
21:17:26,0.30,1.22
21:17:37,0.39,1.15
21:17:45,0.33,1.28
21:19:01,0.30,1.15
21:19:11,0.30,1.21
21:19:21,0.36,1.26
21:19:26,0.33,1.33
21:20:23,0.31,1.18
21:20:34,0.37,1.19
21:20:44,0.38,1.06
21:20:49,0.33,1.26
21:22:05,0.28,1.27
21:22:18,0.35,1.20
21:22:28,0.26,1.20
21:22:38,0.21,1.16
21:22:48,0.26,1.18
21:22:58,0.27,1.52
21:23:08,0.21,2.00
21:23:18,0.13,1.42
21:23:29,0.21,1.54
21:23:29,0.21,1.54
19:41:56,0.28,1.29
19:42:09,0.27,1.29
19:42:19,0.31,1.34
19:42:29,0.19,1.15
19:42:39,0.24,1.25
19:42:49,0.30,1.18
19:42:59,0.29,1.47
19:43:09,0.21,1.18
19:43:19,0.24,1.24
19:43:29,0.29,1.26
19:43:39,0.26,1.26
19:43:49,0.27,1.14
19:43:59,0.31,1.20
19:44:10,0.30,1.20
19:44:20,0.32,1.13
19:44:30,0.29,1.22
19:44:40,0.29,1.22
19:44:50,0.28,1.19
19:45:00,0.27,1.20
19:45:10,0.21,1.26
19:45:20,0.26,1.22
19:45:30,0.28,1.27
19:45:40,0.27,1.29
19:45:50,0.29,1.16
19:46:00,0.30,1.19
19:46:10,0.32,1.27
19:46:20,0.33,1.45
19:46:30,0.29,1.16
19:46:40,0.30,1.21
19:46:50,0.29,1.21
19:47:00,0.29,1.20
19:47:10,0.30,1.20
19:47:21,0.30,1.22
19:47:31,0.31,1.22
19:47:41,0.30,1.20
19:47:51,0.31,1.23
19:48:01,0.31,1.23
19:48:11,0.32,1.23
19:48:21,0.27,1.24
19:48:31,0.24,1.27
19:48:41,0.27,1.26
19:48:51,0.32,1.26
19:49:01,0.29,1.24
19:49:11,0.24,1.27
19:49:21,0.27,1.25
19:49:31,0.23,1.25
19:49:41,0.25,1.25
19:49:51,0.26,1.25
19:50:01,0.24,1.28
19:50:11,0.21,1.24
19:50:21,0.25,1.29
19:50:31,0.26,1.16
19:50:41,0.21,1.23
19:50:52,0.27,1.61
19:51:02,0.16,1.10
19:51:12,0.24,1.27
19:51:22,0.36,1.36
19:51:32,0.33,1.36
19:51:42,0.22,1.28
19:51:42,0.22,1.28
19:51:42,0.22,1.28
19:51:42,0.22,1.28
19:51:42,0.22,1.28
19:51:42,0.22,1.28
19:51:42,0.22,1.28
20:26:59,0.28,1.30
20:47:58,0.33,1.47
20:48:09,0.32,1.22
20:48:24,0.22,1.31
20:49:52,0.28,1.20
20:50:18,0.30,1.22
20:55:30,0.33,1.22
20:55:40,0.20,1.01
20:55:50,0.29,1.18
20:55:52,0.29,1.19
20:56:38,0.30,1.25
20:56:49,0.29,1.23
20:57:46,0.22,1.25
21:10:48,0.29,1.18
21:11:29,0.09,1.06
21:11:49,0.27,0.99
21:11:53,0.25,1.13
21:15:12,0.25,1.17
21:15:22,0.08,1.19
21:15:32,0.24,1.11
21:15:42,0.16,1.11
21:16:13,0.20,1.14
21:16:23,0.35,1.02
21:16:26,0.22,1.22
21:17:40,0.23,0.99
21:17:50,0.24,1.23
21:18:11,0.17,1.24
21:18:17,0.19,1.28
